,ingredientID,ingredient
152,4431,"cream cheese, softened"
153,29156,ground cumin
154,35074,salt and ground black pepper to taste
155,34813,loosely packed and chopped fresh cilantro
156,5112,"canned green chiles, undrained"
157,29176,tomato salsa
158,28720,tomato sauce
159,34813,vegetable broth
160,28277,"lime, juiced"
161,34692,"garlic, peeled"
162,4572,dried oregano
163,16261,flour tortillas
164,29716,"shredded Cheddar cheese, divided"
165,1434861,chopped avocado
166,33277,chopped tomatoes
167,22918,"sour cream, or to taste"
168,27958,olive oil
169,29176,refrigerated cheese tortellini
170,16407,"butter, divided"
171,320611,sliced baby portobello mushrooms
172,16406,finely chopped onion
173,28714,"garlic, minced"
174,16407,half-and-half
175,30204,salt
176,16423,ground black pepper
177,28714,garlic powder
178,34509,cayenne pepper
179,30204,grated Parmesan cheese
180,34367,"chopped fresh thyme, or to taste"
181,20453,dry lentils
182,3701,chicken bouillon
183,27958,"Mexican chorizo, casing removed and meat crumbled"
184,29176,bacon
185,35113,"Roma (plum) tomato, diced"
186,3717,"tomatillo, diced"
187,20551,"white onion, diced"
188,35085,"garlic, minced"
189,16261,water
190,10819,"cilantro, chopped"
191,3789,cumin
192,20611,"crumbled cotija cheese, divided"
193,16386,"sour cream, divided"
194,435167,confectioners' sugar
195,4978,shredded coconut
196,5207,cream
197,29850,ground cinnamon
198,7328b3d8d7e33ba97ef8dbe91626ecdc,"kale, shredded"
199,9725,"Honeycrisp apples, thinly sliced"
200,5107,"pomegranate, seeds only"
201,29850,ground cinnamon
202,28560,Dressing:
203,20244,extra-virgin olive oil
204,2824837,lemon juice
205,320611,"shallot, thinly sliced"
206,16406,chopped fresh thyme
207,35113,ground black pepper to taste
208,27958,crushed red pepper flakes
209,4279,"Pork, fresh, leg (ham), shank half, separable lean and fat, raw"
210,320611,salt
211,23383,ground black pepper
212,24601,boiling water
213,35167,"onion, finely chopped"
214,35113,"carrot, chopped"
215,16347,caraway seeds
216,35113,"black peppercorns, crushed"
217,35153,active dry yeast
218,34826,sugar
219,320611,warm water (110 degrees F/45 degrees C)
220,20635127,evaporated milk
221,16157,warm water
222,2960,"shortening, melted"
223,29716,honey
224,16406,salt
225,4279,bread flour
226,27958,"butter, melted"
227,4378,"firm tofu, diced into 1/2-inch pieces"
228,29176,"olive oil, divided"
229,28560,ground black pepper
230,35113,"carrots, diced"
231,34813,"onion, chopped"
232,15899,sliced fresh mushrooms
233,435167,"garlic, minced"
234,29236,ground turmeric
235,28086,water
236,4405,vegetable broth
237,29716,quinoa
238,2818644,"kale, chopped"
239,27958,miso paste
240,29176,"red bell pepper, chopped"
241,4529,"green onions, sliced"
242,29716,olive oil
243,4516,"bell peppers, chopped"
244,20305,"onions, chopped"
245,23395,"garlic, chopped"
246,4529,"zucchini, chopped"
247,26100,"yellow squash, chopped"
248,20644,chopped fresh spinach
249,27640,diced tomatoes
250,34813,"whole kernel corn, drained"
251,34861,"black beans, rinsed and drained"
252,28720,"kidney beans, rinsed and drained"
253,20551,"garbanzo beans, rinsed and drained"
254,35113,tomato paste
255,34813,vegetable broth
256,34861,chili powder
257,28848,dried oregano
258,4279,ground cumin
259,28196,salt and ground black pepper to taste
260,20833277,warm water
261,325340,ground flaxseed
262,35174,"over-ripe bananas, mashed"
263,326550,applesauce
264,22082,grated carrots
265,28854,vegetable oil
266,29850,almond milk
267,325340,brown sugar
268,3253737,vanilla extract
269,326550,all-purpose flour
270,16421,quick oats
271,9725,baking powder
272,29176,ground cinnamon
273,34750,ground nutmeg
274,28720,baking soda
275,320611,ground cloves
276,320611,salt
277,235113,extra-virgin olive oil
278,2112,"garlic, finely chopped, divided"
279,30204,crushed tomatoes
280,25834,dried oregano
281,4409,"salt, divided"
282,5017,"turkey sausage, casings removed and crumbled"
283,3686,lean ground turkey
284,35113,plain dry bread crumbs
285,27137,freshly grated Parmesan cheese
286,1325340,eggs
287,34826,chopped fresh parsley
288,29176,fresh blackberries
289,28857,ketchup
290,35113,water
291,1636,"fresh jalapeno peppers, sliced"
292,35113,cider vinegar
293,17600,honey
294,28196,"garlic, minced"
295,ba45e437c0d5783d17b992abd8c67874,liquid smoke flavoring
296,435167,"limes, juiced"
297,35075,cornstarch
298,35113,water
299,34935127,chicken wings
300,34861,vegetable oil
301,35074,salt and ground black pepper to taste
302,10843,chopped kale
303,5235,frozen mango chunks
304,5107,frozen pineapple chunks
305,8817,"almond-coconut milk, or more if needed"
306,26877,banana
307,27958,chia seeds
308,ba45e437c0d5783d17b992abd8c67874,flax seed
309,35113,frozen sliced strawberries
310,18326550,lemon juice
311,26100,"granular sucralose sweetener (such as Splenda®), or to taste"
312,215899,lean ground beef
313,4371,"onion, finely diced"
314,4572,salt and ground black pepper to taste
315,28277,water
316,11390,taco seasoning mix
317,34751,"dark red kidney beans, drained"
318,16243,"nacho cheese-flavored corn chips (such as Doritos®), crushed"
319,27959,"romaine lettuce, chopped"
320,25834,"tomatoes, diced"
321,161835127,"shredded Cheddar cheese, or more to taste"
322,16424,"Catalina salad dressing, or to taste"
323,25834,"cream cheese, softened"
324,9c5dcfa759dc151839d5877c0a18e4af,ricotta cheese
325,27093,low-calorie natural sweetener (such as Swerve®)
326,28006,eggs
327,24837,egg yolks
328,6305,vanilla extract
329,28006,eggs
330,27047,salt and freshly ground black pepper to taste
331,20898,gluten-free flour
332,18888,Gluten free crackers
333,35127,"boneless, skinless chicken breast, cut in 1-inch pieces ,vegetable oil"
334,29716,"Yukon Gold potatoes, unpeeled"
335,28560,"red onion, thinly sliced"
336,320611,sliced pitted Kalamata olives
337,16406,red wine vinegar
338,1526,chopped fresh parsley
339,29716,olive oil
340,27605,chopped fresh thyme leaves
341,320611,salt
342,6496,pepper
343,4978,white sugar
344,27981,plain yogurt
345,8954,mayonnaise
346,29018,curry powder
347,5241,shredded cooked chicken breast
348,ba45e437c0d5783d17b992abd8c67874,"apple, peeled and diced"
349,25443,"celery, diced"
350,9c5dcfa759dc151839d5877c0a18e4af,"green onion, finely chopped, or more to taste"
351,21758,sliced almonds
352,24868,raisins
353,35074,salt and ground black pepper to taste
354,12483,frozen salmon fillets
355,16421,salt and freshly ground black pepper to taste
356,34751,unsalted butter
357,35153,bourbon
358,35167,pure maple syrup
359,25834,"Sriracha sauce, or more to taste"
360,326550,salt
361,34839,"cream cheese, softened"
362,27054,shortening
363,28854,white sugar
364,320611,eggs
365,35167,unsifted all-purpose flour
366,5107,milk
367,35167,grated lemon zest
368,28854,baking powder
369,320611,salt
370,16423,white sugar
371,24837,lemon juice
372,28854,white sugar
373,35050,balsamic vinegar
374,35113,sliced fresh strawberries
375,325340,fresh thyme
376,6307,"skinless, boneless chicken breasts, cut into pieces"
377,35074,salt and ground black pepper to taste
378,29176,balsamic vinegar
379,325249,soy sauce
380,35113,water
381,5107,brown sugar
382,6d524b0cf154936052a9c48bd6761d37,"olive oil, or more as needed"
383,f0ed9c72fe4cc05e47eb87b4ea1b7837,"all fruit, no sugar added peach preserves"
384,25443,"garlic, minced"
385,9c5dcfa759dc151839d5877c0a18e4af,ground ginger
386,3733277,"Asian chili garlic sauce, or to taste"
387,8954,lemon juice
388,4cd35a42fe85e28ded4766b9c2e7865f,aluminum foil
389,34751,cooking spray
390,11137,salmon (1-inch thick)
391,34717,salt and freshly ground black pepper to taste
392,2818644,sesame seeds
393,8954,"green onion, thinly sliced"
394,16421,lemon juice (optional)
395,f0ed9c72fe4cc05e47eb87b4ea1b7837,"cream cheese, softened"
396,6057,"canned crushed pineapple, drained"
397,20833277,chopped pecans
398,34861,chopped green bell pepper
399,4337,chopped green onion
400,35074,"salt, or to taste"
401,28854,cooking spray
402,35174,rolled oats
403,320611,almond milk
404,21172,"ripe banana, mashed"
405,20700,cocoa powder
406,35113,maple syrup
407,28854,baking powder
408,20611,vanilla extract
409,320611,salt
410,22064,vegan chocolate chips
411,25418,ground coffee beans
412,16259,water
413,33277,cold brew coffee
414,27054,whipping cream
415,5107,sweetened condensed milk
416,20546,ice cubes
417,1502,sugar-free chocolate flavoring syrup (such as Torani®)
418,20833277,whipped cream for garnish
419,35074,"salted butter, softened"
420,1636,"lemon, zested"
421,16424,lemon juice
422,16317,poppy seeds
423,21758,honey
424,27958,unsweetened almond milk
425,27981,maple syrup
426,35075,cornstarch
427,29176,vanilla extract
428,28006,eggs
429,34813,unsalted butter
430,27958,"onion, chopped"
431,320529,"celery, chopped"
432,4267,"baby carrots, chopped"
433,29176,minced garlic
434,ba45e437c0d5783d17b992abd8c67874,"red potatoes, chopped"
435,326550,vegetable broth
436,35167,beer
437,320611,coarse-grain mustard
438,28854,shredded cabbage
439,34839,chopped cooked corned beef
440,21758,salt and ground black pepper to taste
441,20611,all-purpose flour
442,3494,white sugar
443,320611,salt
444,320611,baking powder
445,2496,milk
446,35113,"unsalted butter, melted and cooled"
447,21758,heavy cream
448,320611,lemon-lime flavored carbonated beverage
449,326550,durum wheat semolina flour (such as Bob's Red Mill®)
450,326550,salt
451,25834,"water, or as needed, at room temperature"
452,35113,water
453,5267,unsalted butter
454,326550,salt
455,35167,all-purpose flour
456,28854,all-purpose flour
457,320611,eggs
458,20751,grated Gruyere cheese
459,161835127,"deli ham, finely chopped"
460,35174,all-purpose flour
461,21758,white sugar
462,320611,baking powder
463,320611,salt
464,35167,cold buttermilk
465,6813,egg yolk
466,20611,vanilla extract
467,35167,"cold unsalted butter, cubed"
468,16424,sliced strawberries
469,34839,"ripe strawberries, hulled and quartered"
470,25834,white sugar
471,320611,"lemon, zested"
472,35174,heavy whipping cream
473,29137,"white sugar, or more to taste"
474,29716,vanilla extract
475,35074,milk
476,16386,egg
477,1718,salt
478,35174,vanilla extract
479,35167,bread
480,29716,olive oil
481,35050,maple syrup
482,1636,ground cinnamon
483,28196,spaghetti
484,317600,chicken broth
485,29176,white sugar
486,4405,hoisin sauce
487,35050,soy sauce
488,35075,cornstarch
489,35113,vegetable oil
490,4337,"uncooked medium shrimp, peeled and deveined"
491,320611,"garlic, minced"
492,34861,"green onions, chopped"
493,4337,raw almonds
494,16382,"dates, pitted and roughly chopped"
495,320611,"water, or as needed"
496,21172,cocoa powder
497,20644,salt
498,3796,bananas
499,35074,cocoa powder
500,1767,ground cardamom
501,35174,salt
502,320611,vegan chocolate chips
503,1338,"chickpeas, drained"
504,2850,peanut butter
505,1350,"pure maple syrup, or to taste"
506,326550,all-purpose flour
507,1526,vanilla extract
508,25834,salt
509,35167,vegan chocolate chips
510,19360,peanuts
511,8310,"Frozen desserts, ice cream, vanilla"
512,9972,large egg yolks
513,2392,"Sugars, granulated"
514,1416,"eggs, separated, divided"
515,4529,sugar
516,f0ed9c72fe4cc05e47eb87b4ea1b7837,mascarpone cheese
517,33277,"amaretto liqueur, divided"
518,27958,"brewed espresso, cooled"
519,29176,ladyfingers (about 30)
520,34751,"cocoa powder, or as needed"
521,2698,"zucchini, spiralized"
522,434839,cooking spray
523,22106,salted butter
524,ba45e437c0d5783d17b992abd8c67874,chopped onion
525,10866,"garlic, crushed"
526,29716,"cream cheese, softened"
527,6725,"tuna, drained"
528,4366,frozen peas
529,4279,shredded sharp Cheddar cheese
530,4378,salt and ground black pepper to taste
531,20337,"sliced almonds, or to taste"
532,326550,olive oil
533,2879,"cauliflower, cut into 1/2-inch pieces"
534,16380,"leek, cut into 1/2-inch rounds"
535,18774,"carrot, cut into 1/2 inch slices"
536,28560,"mushrooms, cut into 1/2-inch pieces"
537,18766,sherry vinegar
538,326550,all-purpose flour
539,320611,soy milk
540,16406,bay leaf
541,326550,chopped fresh tarragon
542,28854,chopped fresh thyme
543,320611,chopped fresh oregano
544,29716,Dijon mustard
545,35113,salt
546,5133,ground black pepper
547,e2feb79b9f4571ef16d430c2159aedd1,all-purpose flour
548,326550,baking powder
549,10819,salt
550,18427,olive oil
551,28854,"water, or more as needed"
552,320611,diced olives
553,34839,nonstick cooking spray
554,28196,all-purpose flour
555,20332,powdered sugar
556,29716,unsweetened cocoa powder
557,35050,baking powder
558,18428,salt
559,34826,milk
560,29176,vegetable oil
561,20607,chocolate extract
562,29716,olive oil
563,5107,soy sauce
564,320611,vinegar
565,16407,honey
566,28720,"garlic, minced"
567,16417,tilapia fillets
568,20244,"sardines packed in olive oil, drained (such as King Oscar®)"
569,29176,fresh lemon
570,35074,salt and ground black pepper to taste
571,16427,cayenne pepper
572,28848,dried oregano
573,325340,dried thyme
574,3253737,"crushed red pepper flakes, or to taste"
575,28854,"garlic cloves, chopped"
576,16411,chopped sun-dried tomatoes
577,29850,capers
578,320611,whole wheat pastry flour
579,325340,brown sugar
580,3253737,baking soda
581,35174,baking powder
582,1338,pumpkin pie spice
583,326550,cinnamon
584,10819,salt
585,320611,egg whites
586,33277,pumpkin puree
587,25834,vanilla extract
588,5112,chocolate chips
589,326550,all-purpose flour
590,35167,confectioners' sugar
591,320611,salt
592,28854,butter
593,28006,eggs
594,10819,lime juice
595,5112,all-purpose flour
596,20455,white sugar
597,22011,"grated lime peel, or more to taste (Optional)"
598,29716,baking powder
599,29176,"green food coloring, or as desired (Optional)"
600,4572,confectioners' sugar
601,29123,lime juice
602,34692,grated lime peel (Optional)
603,2818644,cooked small shrimp
604,5112,"olive oil, or to taste"
605,35085,"garlic, minced"
606,35167,salt to taste
607,3717,"tomatoes, diced"
608,20353,"mango, diced"
609,5112,"avocado, diced"
610,2351,"green bell pepper, diced"
611,4442,lime juice
612,320611,"green chile pepper, diced"
613,33277,white sugar
614,25834,chopped fresh cilantro
615,16191,tequila (Optional)
616,326550,lime juice
617,5201,"warm corn tortillas, or as needed"
618,22038,russet potatoes
619,33277,salt
620,35167,"butter, softened"
621,2112,"eggs, beaten"
622,5912b458e6bed2c2b36726ee4672a458,farina
623,4371,"all-purpose flour, or as needed"
624,4572,Italian prune plums
625,34692,white sugar
626,27047,"butter, melted"
627,4529,white sugar
628,5112,dry bread crumbs
629,34826,additional melted butter and sugar for garnish (optional)
630,29176,"romaine lettuce, chopped"
631,20551,"tomatoes (such as Campari®), cut into wedges"
632,320611,"avocados - peeled, pitted, and cubed"
633,1ddf514ba70af6f41aea25a3ea6e597f,"red onion, halved and thinly sliced"
634,9725,"black beans, rinsed and drained"
635,25443,fresh lime juice
636,17600,honey
637,27958,"garlic, minced"
638,28086,ground cumin
639,35127,salt
640,25834,freshly ground black pepper to taste
641,29176,extra-virgin olive oil
642,7428,"boneless, skinless salmon fillets"
643,18741,baking mix (such as Bisquick®)
644,25254,diced onion
645,6311,diced red bell pepper
646,6305,freshly chopped parsley
647,25834,egg
648,320611,"garlic, minced"
649,35167,Worcestershire sauce
650,16317,seasoned salt
651,34367,seafood seasoning (such as Old Bay®)
652,27958,cornmeal
653,28854,vegetable oil
654,35074,refrigerated pie crust
655,2496,diced fresh strawberries
656,28196,white sugar
657,28563,"egg, beaten"
658,35085,"smoked bacon, diced"
659,25146,finely chopped onions
660,29176,high-quality balsamic vinegar
661,27958,real maple syrup
662,35167,"water, divided"
663,4572,vegetable oil
664,27640,cumin seeds
665,28560,"green chile peppers, sliced"
666,18844,"grated fresh ginger ,garlic, minced"
667,27958,"onion, chopped"
668,35167,white sugar
669,20473,"tomatoes, chopped"
670,3717,tomato paste
671,4267,ground turmeric
672,20270,ground coriander
673,4279,red chile powder
674,20847,"jackfruit, cut into 2-inch pieces"
675,320611,garam masala
676,35113,salt to taste
677,18428,chopped fresh cilantro
678,16403,"cabbage, finely shredded"
679,18415,"white onion, halved and sliced 1/4-inch thick"
680,320611,"carrot, grated"
681,25834,"red bird's eye chile peppers, grated"
682,30204,"salt, or to taste"
683,24601,boiling water
684,320611,vinegar
685,16406,oregano
686,28714,"boneless pork chops, 1/2-inch thick"
687,10536,salt and ground black pepper to taste
688,25834,egg
689,30204,grated Parmesan cheese
690,28277,almond flour
691,25834,salt
692,34839,pepper
693,16421,garlic powder
694,326550,avocado oil cooking spray
695,325340,ground pork sausage
696,28854,"refrigerated crescent roll dough, or as needed"
697,29850,"mild Cheddar cheese, shredded"
698,3253737,eggs
699,320611,milk
700,325249,salt
701,326550,ground black pepper to taste
702,21758,all-purpose flour
703,3253737,brown sugar
704,29716,baking powder
705,35174,ground cinnamon
706,34717,baking soda
707,33277,salt
708,10819,ground ginger
709,34839,ground cloves
710,16424,"cold unsalted butter, cut into chunks"
711,33277,pumpkin puree
712,27958,plain yogurt
713,320611,vanilla extract
714,326550,chopped pecans
715,320611,butter
716,35167,confectioners' sugar
717,325249,"milk, or more as needed"
718,35174,vanilla extract
719,34839,butter
720,34819,minced onion
721,5107,curry powder
722,28720,all-purpose flour
723,34861,salt
724,9725,white sugar
725,325249,ground ginger
726,35113,chicken broth
727,34839,milk
728,4335,"cubed, cooked chicken"
729,4572,lemon juice
730,2818644,dried oregano
731,27047,chili powder
732,28560,extra-virgin olive oil
733,7822,"feta cheese, cubed"
734,9725,water
735,29176,"couscous ,cucumber, seeded and chopped"
736,9725,"tomato, chopped"
737,28854,"green bell pepper, chopped"
738,18875,"red onion, chopped"
739,2882,pitted black olives
740,4086,pitted green olives
741,320611,extra-virgin olive oil
742,29176,"garlic, minced"
743,28560,extra-virgin olive oil
744,29716,balsamic vinegar
745,6307,white wine vinegar
746,35050,soy sauce
747,21796,filet mignon
748,35113,salt
749,1325340,"garlic, minced"
750,320611,fresh thyme
751,be3be1bba433ade09744131fbd6cf966,"olive oil, or as needed"
752,35153,olive oil
753,25834,"ripe avocados, cubed"
754,28196,Greek yogurt
755,25249,"lime, juiced"
756,35167,apple cider vinegar
757,320611,salt
758,320611,ground black pepper to taste
759,35167,"vegetable shortening, room temperature"
760,29850,"eggs, separated"
761,11039,vegetable oil
762,33277,orange juice
763,35174,white sugar
764,34751,matzo cake meal
765,10819,salt
766,3796,white sugar
767,3789,ground cinnamon
768,18427,"Granny Smith apples - peeled, cored, and quartered"
769,1338,"butter, softened"
770,6300,vanilla extract
771,326550,"cream cheese, softened"
772,35167,confectioners' sugar
773,3253737,creamy peanut butter (Optional)
774,29850,flaked coconut (Optional)
775,320611,unsweetened cocoa powder (Optional)
776,325340,semisweet chocolate pieces
777,4279,shortening or vegetable oil (Optional)
778,326550,all-purpose flour
779,28196,white sugar
780,25834,baking soda
781,35174,ground cinnamon
782,5145,salt
783,5107,ground nutmeg
784,1636,shredded carrots
785,5235,"mandarin oranges, drained"
786,2879,vegetable oil
787,35167,eggs
788,8817,vanilla extract
789,27581,grated orange zest
790,2824837,lemon juice
791,317600,cornstarch
792,5107,frozen strawberries
793,27981,soy milk
794,27605,white sugar
795,27047,"granular sucrolose sweetener (such as Splenda®), or to taste"
796,27047,"citric acid powder (sour salt), or to taste"
797,16419,imitation crabmeat
798,25254,"uncooked shrimp, peeled and deveined"
799,9c5dcfa759dc151839d5877c0a18e4af,"lemon juice, divided"
800,10170,minced celery
801,20305,mayonnaise (such as Hellmann's®)
802,27958,minced red onion
803,10538,minced red onion
804,20551,minced fresh dill
805,28720,seafood seasoning (such as Old Bay®)
806,34861,salt and freshly ground black pepper to taste
807,16404,"green lentils, sorted and rinsed"
808,28714,"petite diced tomatoes ,onion, diced"
809,1618129,jarred minced garlic
810,320611,ground cumin
811,35174,dried oregano
812,6522,chili powder
813,6725,paprika
814,29716,garlic powder
815,33277,onion powder
816,29716,"salt, or more to taste ,chicken broth"
817,27958,"bone-in, skin-on chicken thighs, or more to taste"
818,326550,cauliflower florets
819,34839,olive oil
820,320611,butter
821,16406,olive oil
822,28277,minced onion
823,22318,all-purpose flour
824,34839,milk
825,28006,salt
826,28714,ground black pepper
827,9725,grated Cheddar cheese
828,4378,"panko bread crumbs, or to taste"
829,27958,dry kidney beans
830,28086,"red potatoes, peeled and diced"
831,27981,brown lentils
832,4279,extra-virgin olive oil
833,20447,"fresh mushrooms, finely diced"
834,29850,"yellow onion, diced"
835,29176,"red bell pepper, diced"
836,25443,"celery, diced"
837,28720,"carrot, diced"
838,20245,"habanero pepper, seeded and diced"
839,28714,"shallot, minced"
840,35085,"garlic, minced"
841,20453,"Italian parsley, finely chopped"
842,4279,dried oregano
843,4529,Italian seasoning
844,4326550,red lentils
845,20212,buckwheat groats
846,29236,"Roma tomatoes, diced"
847,25629,"carrots, sliced"
848,28857,"zucchini, sliced"
849,1325340,"fresh green beans, trimmed"
850,ba45e437c0d5783d17b992abd8c67874,vegetable bouillon
851,19183,brown miso
852,28854,yeast extract spread
853,320611,liquid smoke flavoring
854,35167,cider vinegar
855,325340,salt and ground black pepper to taste
856,33277,all-purpose flour
857,25834,baking powder
858,35174,salt
859,35167,white sugar
860,33277,brown sugar
861,3253737,"butter, melted"
862,326550,eggs
863,25834,vanilla extract
864,29850,white sugar
865,16411,"butter, melted"
866,325340,pumpkin puree (such as Libby's®)
867,28854,all-purpose flour
868,320611,eggs
869,35167,ground cinnamon
870,16386,pumpkin pie spice
871,326550,ground nutmeg
872,320611,baking powder
873,28854,salt
874,3253737,"white sugar, or to taste"
875,35113,"ground cinnamon, or to taste"
876,28196,all-purpose flour
877,28196,salt
878,34819,baking powder
879,27958,baking soda
880,2818644,warm water
881,3717,vegetable oil
882,7822,vegetable oil
883,29176,"shredded, cooked chicken"
884,27961,"onion, diced"
885,27640,"green bell pepper, diced"
886,20482,chopped fresh cilantro
887,21758,sliced green olives
888,1338,"garlic, crushed"
889,326550,sazon seasoning with annato (such as Goya®)
890,18427,tomato paste
891,35074,salt and ground black pepper to taste
892,28854,vegetable oil for frying
893,35167,unsalted butter
894,25834,semisweet chocolate chips
895,35174,all-purpose flour
896,18427,unsweetened cocoa powder
897,28889,kosher salt
898,1338,baking powder
899,20611,white sugar
900,21758,eggs
901,18866,vanilla extract
902,9725,raspberry jam
903,5107,fresh raspberries
904,25249,semisweet chocolate chips
905,5112,heavy cream
906,29176,unsalted butter
907,320611,kosher salt
908,16406,extra virgin olive oil
909,4371,fresh lemon juice
910,4572,fresh orange juice
911,20194,fresh lime juice
912,27047,minced garlic
913,5012,"salt, or to taste"
914,29176,ground black pepper
915,320611,"romaine lettuce - rinsed, dried and chopped"
916,320611,"tomatoes, cut into 8 wedges"
917,29716,"radishes, thinly sliced"
918,35085,"red onion, thinly sliced"
919,2818644,"avocado - peeled, pitted, and chopped"
920,4572,"garlic, diced"
921,16317,caraway seeds
922,320611,salt
923,20833277,olive oil
924,28763,"mild chile peppers, chopped"
925,26848,"green bell peppers, seeded and chopped"
926,3522,"tomatoes, seeded and chopped"
927,4233277,eggs
928,28196,salt and ground black pepper to taste
929,9722,sugar-free white chocolate-flavored syrup (such as Torani®)
930,29176,unsweetened almond milk
931,2e4e85387f1405fc6ff46020afff6dc2,powdered peanut butter (such as PB2®)
932,3752,stevia sweetener (such as Truvia®) (Optional)
933,21758,coffee
934,325340,purple sprouting broccoli
935,28196,vegetable oil
936,25834,toasted sesame oil
937,35174,"garlic, thinly sliced"
938,25340,salt to taste
939,29850,"toasted sesame seeds, or to taste"
940,28854,"unsalted butter, softened"
941,3253737,packed brown sugar
942,320611,nonfat plain Greek yogurt
943,6057,egg
944,8609,vanilla extract
945,24837,whole wheat flour
946,35050,ground cinnamon
947,325340,baking powder
948,9c5dcfa759dc151839d5877c0a18e4af,baking soda
949,8336,salt
950,1636,old-fashioned oats
951,317600,semi-sweet chocolate chips
952,21666,"boneless skinless chicken breasts, cubed"
953,5188,dark soy sauce
954,29176,soft brown sugar
955,4279,salt and freshly ground black pepper to taste
956,3698,Shaoxing rice wine
957,28086,"cornstarch, divided"
958,1651,"uncooked shrimp, peeled and deveined"
959,16317,"sesame oil, divided"
960,e2feb79b9f4571ef16d430c2159aedd1,fresh pineapple
961,1734861,"garlic, finely chopped"
962,35113,"carrot, peeled and chopped"
963,28196,"yellow bell pepper, chopped"
964,25834,"red bell pepper, chopped"
965,1350,cooked rice
966,21898,"eggs, beaten"
967,34611,nonstick cooking spray
968,20611,devil's food cake mix
969,10819,water
970,df2968c06cd224d4681f8cd757531dd7,oil
